q0,q1,q2,q3,q4,q5
0.1471809630613178,0.14255082020389268,0.1506647683532723,0.1340106352015801,0.14841003811308243,0.13223619776335443
0.14816881640676977,0.1434626382314134,0.15176635589197282,0.1352271032197588,0.14955509322726548,0.1331335845968738
0.14914274570111033,0.14436136396662136,0.15285615206311146,0.1364366108635916,0.15068755712588355,0.13401785877281758
0.15010277146240233,0.1452471053311657,0.15393422560977335,0.1376390674325783,0.15180738627325438,0.13488903740453162
0.15104892082061677,0.1461199776203703,0.15500065205046223,0.13883438494349143,0.15291454362093085,0.13574714465630125
0.1519812274471625,0.1469801033475398,0.1560555135198371,0.14002247812598712,0.15400899856527783,0.13659221167699695
0.15289973148099,0.1478276120834782,0.15709889860478018,0.14120326441708667,0.15509072690097378,0.1374242765295762
0.1538044794513285,0.1486626402913582,0.15813090217595696,0.14237666395454562,0.15615971077048296,0.13824338411649872
0.15469552419711535,0.14948533115708196,0.1591516252150335,0.14354259956912901,0.15721593860954608,0.13904958610111448
0.15557292478318097,0.15029583441527816,0.1601611746377181,0.14470099677580994,0.15825940508873873,0.13984294082508725
0.15643674641325223,0.15109430617108335,0.1611596631127996,0.1458517837639107,0.1592901110511528,0.14062351322191918
0.1572870603398403,0.15188090871785792,0.16214720887735506,0.14699489138620597,0.16030806344625523,0.14139137472664243
0.1581239437710811,0.15265581035099055,0.16312393554830526,0.14813025314700692,0.1613132752599839,0.1421466031817494
0.15894747977459664,0.15341918517794834,0.16408997193049718,0.14925780518924672,0.16230576544114078,0.14288928273943272
0.15975775717844864,0.15417121292473054,0.16504545182149571,0.15037748628058792,0.16328555882414683,0.14361950376020957
0.16055487046925718,0.1549120787388896,0.16599051381326946,0.15148923779857187,0.16425268604822438,0.1443373627080088
0.16133891968755837,0.1556419729892813,0.16692530109095788,0.1525930037148323,0.16520718347307628,0.14504296204179687
0.16211001032047626,0.1563610910627131,0.16784996122890833,0.15368873057839377,0.1661490930911311,0.14573641010382796
0.1628682531917873,0.15706963315765746,0.16876464598417457,0.15477636749807722,0.1670784624364304,0.1464178210045971
0.16361376434945454,0.15776780407520138,0.16966951108766828,0.15585586612403446,0.1679953444902307,0.14708731450458593
0.16434666495071273,0.1584558130074054,0.17056471603315923,0.15692718062843464,0.16889979758340026,0.14774501589288527
0.1650670811447847,0.1591338733232446,0.17145042386431814,0.15799026768532423,0.16979188529568906,0.14839105586278592
0.1657751439533122,0.15980220235231005,0.17232680095999992,0.1590450864496852,0.170671676351955,0.14902557038442762
0.1664709891485846,0.1604610211664451,0.17319401681796495,0.16009159853571278,0.17153924451542935,0.14964870057459967
0.16715475712965044,0.1611105543594974,0.1740522438372363,0.16112976799433726,0.17239466847810858,0.15026059256378788
0.16782659279639753,0.1617510298253653,0.17490165709929278,0.16215956129001344,0.17323803174835956,0.15086139736056395
0.16848664542168937,0.1623826785345196,0.17574243414829724,0.16318094727680074,0.17406942253582794,0.15145127071341544
0.1691350685216446,0.16300573430918247,0.17657475477056023,0.1641938971737591,0.17488893363374175,0.15203037297011576
0.1697720197241497,0.16362043359734532,0.1773988007734388,0.16519838453968305,0.17569666229870262,0.15259886893473476
0.1703976606356936,0.16422701524580954,0.1782147557638711,0.1661943852472002,0.17649271012806014,0.1531569277223928
0.1710121567066153,0.1648257202724321,0.1790228049267459,0.16718187745625643,0.1772771829349647,0.1537047226118611
0.17161567709485553,0.1654167916377607,0.17982313480330717,0.1681608415870137,0.17805019062119792,0.1542424308961139
0.17220839452830444,0.1660004740162417,0.18061593306979168,0.16913126029218373,0.17881184704787864,0.15477023373093785
0.17279048516583728,0.16657701356718457,0.18140138831649882,0.17009311842882324,0.17956226990414553,0.15528831598170614
0.17336212845713223,0.1671466577056659,0.18217968982748833,0.17104640302961358,0.1803015805739184,0.15579686606842502
0.17392350700136275,0.16770965487355718,0.18295102736110364,0.17199110327365152,0.18102990400084032,0.15629607580916174
0.17447480640485868,0.168266254310858,0.18371559093151368,0.172927210456773,0.18174736855150586,0.1567861402619639
0.17501621513783114,0.16881670582751732,0.18447357059146846,0.17385471796143684,0.18245410587707883,0.15726725756538143
