tau1,tau2,tau3,tau4,tau5,tau6,tau7
12.973070,12.220149,7.152439,1.890202,-0.122761,0.216881,-0.358470
12.944009,12.217533,7.149760,1.875826,-0.122487,0.216689,-0.358321
12.914813,12.215043,7.146992,1.861487,-0.122212,0.216499,-0.358173
12.885483,12.212678,7.144137,1.847186,-0.121937,0.216310,-0.358024
12.856018,12.210440,7.141193,1.832922,-0.121661,0.216124,-0.357876
12.826418,12.208328,7.138161,1.818698,-0.121384,0.215939,-0.357727
12.796684,12.206342,7.135042,1.804512,-0.121107,0.215755,-0.357578
12.766815,12.204484,7.131835,1.790366,-0.120830,0.215574,-0.357429
12.736812,12.202752,7.128541,1.776261,-0.120551,0.215394,-0.357279
12.706674,12.201148,7.125159,1.762196,-0.120273,0.215216,-0.357130
12.676402,12.199671,7.121690,1.748172,-0.119994,0.215039,-0.356981
12.645995,12.198322,7.118134,1.734190,-0.119714,0.214865,-0.356831
12.615454,12.197101,7.114490,1.720250,-0.119433,0.214692,-0.356681
12.584779,12.196008,7.110760,1.706353,-0.119152,0.214521,-0.356532
12.553970,12.195044,7.106944,1.692500,-0.118871,0.214351,-0.356382
12.523026,12.194207,7.103041,1.678690,-0.118589,0.214184,-0.356232
12.491948,12.193499,7.099051,1.664924,-0.118306,0.214018,-0.356082
12.460736,12.192920,7.094975,1.651203,-0.118023,0.213854,-0.355932
12.429389,12.192470,7.090813,1.637528,-0.117739,0.213691,-0.355781
12.397909,12.192148,7.086565,1.623899,-0.117455,0.213531,-0.355631
12.366295,12.191956,7.082232,1.610316,-0.117170,0.213372,-0.355481
12.334547,12.191893,7.077813,1.596779,-0.116885,0.213215,-0.355330
12.302665,12.191959,7.073308,1.583291,-0.116599,0.213060,-0.355180
12.270649,12.192154,7.068719,1.569850,-0.116312,0.212906,-0.355029
12.238500,12.192479,7.064044,1.556458,-0.116025,0.212754,-0.354878
12.206217,12.192933,7.059284,1.543114,-0.115737,0.212604,-0.354728
12.173801,12.193516,7.054440,1.529821,-0.115449,0.212456,-0.354577
12.141251,12.194229,7.049512,1.516577,-0.115160,0.212310,-0.354426
12.108567,12.195072,7.044499,1.503384,-0.114870,0.212165,-0.354275
12.075751,12.196044,7.039402,1.490242,-0.114580,0.212022,-0.354124
12.042801,12.197146,7.034221,1.477151,-0.114290,0.211881,-0.353973
12.009719,12.198378,7.028957,1.464113,-0.113998,0.211742,-0.353822
11.976503,12.199739,7.023609,1.451127,-0.113707,0.211604,-0.353671
11.943155,12.201230,7.018178,1.438194,-0.113414,0.211468,-0.353520
11.909673,12.202851,7.012664,1.425315,-0.113121,0.211335,-0.353369
11.876059,12.204601,7.007067,1.412490,-0.112828,0.211202,-0.353218
11.842313,12.206480,7.001388,1.399720,-0.112533,0.211072,-0.353067
11.808434,12.208489,6.995626,1.387005,-0.112239,0.210943,-0.352916
11.774422,12.210628,6.989783,1.374345,-0.111943,0.210817,-0.352765
11.740279,12.212896,6.983857,1.361742,-0.111647,0.210692,-0.352614
11.706003,12.215293,6.977850,1.349195,-0.111351,0.210568,-0.352463
11.671596,12.217820,6.971761,1.336706,-0.111054,0.210447,-0.352312
11.637056,12.220475,6.965592,1.324274,-0.110756,0.210327,-0.352161
11.602385,12.223260,6.959341,1.311901,-0.110457,0.210209,-0.352010
11.567582,12.226174,6.953010,1.299586,-0.110158,0.210093,-0.351859
11.532648,12.229216,6.946598,1.287331,-0.109859,0.209979,-0.351708
11.497582,12.232387,6.940106,1.275135,-0.109559,0.209866,-0.351558
11.462385,12.235687,6.933534,1.263000,-0.109258,0.209756,-0.351407
11.427057,12.239115,6.926883,1.250925,-0.108957,0.209647,-0.351256
11.391598,12.242671,6.920152,1.238912,-0.108655,0.209539,-0.351106
11.356008,12.246355,6.913343,1.226960,-0.108352,0.209434,-0.350955
11.320288,12.250168,6.906454,1.215071,-0.108049,0.209330,-0.350805
11.284437,12.254108,6.899487,1.203245,-0.107745,0.209229,-0.350654
11.248456,12.258175,6.892441,1.191481,-0.107441,0.209128,-0.350504
11.212344,12.262370,6.885318,1.179782,-0.107136,0.209030,-0.350354
11.176103,12.266692,6.878116,1.168147,-0.106830,0.208934,-0.350204
11.139731,12.271141,6.870837,1.156576,-0.106524,0.208839,-0.350054
11.103230,12.275717,6.863481,1.145071,-0.106217,0.208746,-0.349904
11.066600,12.280419,6.856049,1.133632,-0.105910,0.208654,-0.349755
11.029839,12.285248,6.848539,1.122258,-0.105602,0.208565,-0.349605
10.992950,12.290203,6.840953,1.110952,-0.105293,0.208477,-0.349456
10.955932,12.295283,6.833291,1.099713,-0.104984,0.208391,-0.349307
10.918784,12.300489,6.825554,1.088541,-0.104674,0.208307,-0.349158
10.881508,12.305820,6.817741,1.077438,-0.104363,0.208225,-0.349009
10.844103,12.311276,6.809852,1.066404,-0.104052,0.208144,-0.348860
10.806570,12.316856,6.801889,1.055438,-0.103741,0.208065,-0.348711
10.768909,12.322561,6.793852,1.044542,-0.103428,0.207988,-0.348563
10.731120,12.328390,6.785740,1.033717,-0.103115,0.207912,-0.348415
10.693203,12.334343,6.777554,1.022962,-0.102802,0.207838,-0.348267
10.655158,12.340419,6.769294,1.012278,-0.102488,0.207766,-0.348119
10.616986,12.346618,6.760962,1.001666,-0.102173,0.207696,-0.347972
10.578686,12.352940,6.752556,0.991126,-0.101857,0.207627,-0.347824
10.540259,12.359385,6.744077,0.980658,-0.101541,0.207560,-0.347677
10.501706,12.365951,6.735526,0.970264,-0.101225,0.207495,-0.347530
10.463026,12.372639,6.726903,0.959943,-0.100907,0.207432,-0.347384
10.424219,12.379449,6.718209,0.949695,-0.100590,0.207370,-0.347238
10.385286,12.386379,6.709442,0.939523,-0.100271,0.207310,-0.347091
10.346227,12.393430,6.700605,0.929425,-0.099952,0.207252,-0.346946
10.307042,12.400601,6.691697,0.919403,-0.099632,0.207195,-0.346800
10.267731,12.407892,6.682718,0.909456,-0.099312,0.207140,-0.346655
10.228295,12.415302,6.673670,0.899586,-0.098991,0.207087,-0.346510
10.188733,12.422832,6.664551,0.889793,-0.098669,0.207035,-0.346365
10.149047,12.430479,6.655363,0.880076,-0.098347,0.206985,-0.346221
10.109236,12.438245,6.646106,0.870438,-0.098024,0.206937,-0.346076
10.069300,12.446128,6.636780,0.860877,-0.097700,0.206891,-0.345933
10.029239,12.454129,6.627386,0.851396,-0.097376,0.206846,-0.345789
9.989055,12.462246,6.617923,0.841993,-0.097051,0.206802,-0.345646
9.948746,12.470479,6.608393,0.832670,-0.096726,0.206761,-0.345503
9.908314,12.478829,6.598795,0.823426,-0.096400,0.206721,-0.345361
9.867759,12.487293,6.589130,0.814264,-0.096073,0.206683,-0.345219
9.827080,12.495873,6.579398,0.805182,-0.095746,0.206646,-0.345077
9.786278,12.504566,6.569600,0.796181,-0.095418,0.206611,-0.344935
9.745353,12.513374,6.559736,0.787262,-0.095089,0.206578,-0.344794
9.704306,12.522295,6.549806,0.778425,-0.094760,0.206546,-0.344654
9.663136,12.531329,6.539811,0.769671,-0.094430,0.206516,-0.344513
9.621844,12.540474,6.529750,0.760999,-0.094099,0.206487,-0.344373
9.580431,12.549732,6.519625,0.752412,-0.093768,0.206460,-0.344234
9.538896,12.559101,6.509436,0.743908,-0.093436,0.206435,-0.344095
9.497239,12.568580,6.499182,0.735488,-0.093103,0.206411,-0.343956
9.455462,12.578170,6.488865,0.727154,-0.092770,0.206389,-0.343818
9.413563,12.587869,6.478485,0.718904,-0.092437,0.206368,-0.343680
9.371545,12.597677,6.468041,0.710740,-0.092102,0.206349,-0.343542
9.329405,12.607594,6.457536,0.702662,-0.091767,0.206332,-0.343405
9.287146,12.617618,6.446967,0.694671,-0.091431,0.206316,-0.343269
9.244767,12.627749,6.436337,0.686766,-0.091095,0.206302,-0.343133
9.202268,12.637987,6.425646,0.678949,-0.090758,0.206289,-0.342997
9.159650,12.648331,6.414893,0.671219,-0.090420,0.206278,-0.342862
9.116913,12.658781,6.404080,0.663577,-0.090081,0.206268,-0.342727
9.074057,12.669335,6.393206,0.656024,-0.089742,0.206260,-0.342593
9.031083,12.679993,6.382272,0.648560,-0.089403,0.206253,-0.342459
8.987991,12.690755,6.371279,0.641185,-0.089062,0.206248,-0.342325
8.944781,12.701620,6.360226,0.633900,-0.088721,0.206245,-0.342192
8.901453,12.712587,6.349114,0.626705,-0.088379,0.206243,-0.342060
8.858007,12.723655,6.337944,0.619600,-0.088037,0.206242,-0.341928
8.814445,12.734824,6.326715,0.612586,-0.087694,0.206243,-0.341797
8.770766,12.746094,6.315429,0.605663,-0.087350,0.206245,-0.341666
8.726970,12.757463,6.304085,0.598832,-0.087006,0.206249,-0.341535
8.683058,12.768931,6.292684,0.592093,-0.086661,0.206254,-0.341405
8.639030,12.780497,6.281226,0.585447,-0.086315,0.206261,-0.341276
8.594887,12.792161,6.269712,0.578893,-0.085968,0.206269,-0.341147
8.550628,12.803921,6.258142,0.572432,-0.085621,0.206279,-0.341019
8.506254,12.815777,6.246516,0.566065,-0.085273,0.206290,-0.340891
8.461765,12.827729,6.234835,0.559792,-0.084925,0.206302,-0.340764
