q0,q1,q2,q3,q4,q5,q6
-0.305981503,-0.401158657,-0.385845868,-1.478267336,0.417832994,0.560751856,-0.259029683
-0.306583965,-0.400243734,-0.386012545,-1.480449123,0.416488573,0.560420484,-0.259172313
-0.307188520,-0.399324210,-0.386181668,-1.482623721,0.415141640,0.560087720,-0.259317082
-0.307795159,-0.398400088,-0.386353241,-1.484791118,0.413792207,0.559753569,-0.259463990
-0.308403875,-0.397471372,-0.386527266,-1.486951300,0.412440285,0.559418035,-0.259613040
-0.309014658,-0.396538065,-0.386703743,-1.489104253,0.411085887,0.559081122,-0.259764233
-0.309627500,-0.395600171,-0.386882674,-1.491249965,0.409729024,0.558742834,-0.259917570
-0.310242394,-0.394657694,-0.387064062,-1.493388421,0.408369708,0.558403176,-0.260073054
-0.310859329,-0.393710636,-0.387247908,-1.495519608,0.407007951,0.558062152,-0.260230686
-0.311478298,-0.392759002,-0.387434214,-1.497643514,0.405643765,0.557719766,-0.260390467
-0.312099293,-0.391802795,-0.387622981,-1.499760124,0.404277161,0.557376022,-0.260552400
-0.312722304,-0.390842020,-0.387814212,-1.501869427,0.402908153,0.557030924,-0.260716484
-0.313347323,-0.389876679,-0.388007907,-1.503971408,0.401536750,0.556684477,-0.260882723
-0.313974341,-0.388906777,-0.388204069,-1.506066055,0.400162967,0.556336684,-0.261051117
-0.314603350,-0.387932318,-0.388402699,-1.508153355,0.398786813,0.555987550,-0.261221668
-0.315234342,-0.386953306,-0.388603798,-1.510233295,0.397408303,0.555637080,-0.261394377
-0.315867306,-0.385969744,-0.388807368,-1.512305862,0.396027446,0.555285277,-0.261569245
-0.316502235,-0.384981637,-0.389013411,-1.514371043,0.394644257,0.554932145,-0.261746274
-0.317139119,-0.383988989,-0.389221928,-1.516428826,0.393258745,0.554577688,-0.261925465
-0.317777951,-0.382991803,-0.389432920,-1.518479197,0.391870925,0.554221912,-0.262106820
-0.318418720,-0.381990085,-0.389646389,-1.520522145,0.390480806,0.553864819,-0.262290339
-0.319061419,-0.380983839,-0.389862337,-1.522557656,0.389088403,0.553506414,-0.262476023
-0.319706038,-0.379973068,-0.390080764,-1.524585719,0.387693726,0.553146702,-0.262663875
-0.320352568,-0.378957777,-0.390301672,-1.526606320,0.386296788,0.552785686,-0.262853894
-0.321001000,-0.377937971,-0.390525062,-1.528619447,0.384897601,0.552423370,-0.263046083
-0.321651326,-0.376913654,-0.390750936,-1.530625088,0.383496178,0.552059759,-0.263240442
-0.322303536,-0.375884830,-0.390979295,-1.532623230,0.382092529,0.551694857,-0.263436972
-0.322957621,-0.374851505,-0.391210140,-1.534613862,0.380686668,0.551328667,-0.263635674
-0.323613573,-0.373813681,-0.391443472,-1.536596970,0.379278606,0.550961195,-0.263836550
-0.324271382,-0.372771365,-0.391679293,-1.538572543,0.377868356,0.550592444,-0.264039599
-0.324931038,-0.371724561,-0.391917603,-1.540540569,0.376455930,0.550222418,-0.264244824
-0.325592534,-0.370673274,-0.392158404,-1.542501036,0.375041341,0.549851122,-0.264452225
-0.326255859,-0.369617507,-0.392401697,-1.544453932,0.373624599,0.549478559,-0.264661802
-0.326921004,-0.368557268,-0.392647483,-1.546399244,0.372205718,0.549104734,-0.264873557
-0.327587960,-0.367492559,-0.392895763,-1.548336961,0.370784710,0.548729650,-0.265087491
-0.328256719,-0.366423386,-0.393146539,-1.550267072,0.369361588,0.548353312,-0.265303604
-0.328927270,-0.365349754,-0.393399810,-1.552189563,0.367936362,0.547975725,-0.265521897
-0.329599604,-0.364271668,-0.393655578,-1.554104424,0.366509046,0.547596891,-0.265742370
-0.330273712,-0.363189134,-0.393913844,-1.556011644,0.365079653,0.547216815,-0.265965025
-0.330949584,-0.362102155,-0.394174609,-1.557911209,0.363648193,0.546835502,-0.266189862
-0.331627211,-0.361010738,-0.394437874,-1.559803109,0.362214681,0.546452955,-0.266416882
-0.332306585,-0.359914888,-0.394703640,-1.561687333,0.360779127,0.546069178,-0.266646085
-0.332987694,-0.358814609,-0.394971907,-1.563563869,0.359341545,0.545684176,-0.266877472
-0.333670530,-0.357709908,-0.395242676,-1.565432705,0.357901946,0.545297953,-0.267111043
-0.334355083,-0.356600789,-0.395515949,-1.567293830,0.356460343,0.544910512,-0.267346799
-0.335041344,-0.355487258,-0.395791725,-1.569147234,0.355016749,0.544521857,-0.267584740
-0.335729302,-0.354369320,-0.396070006,-1.570992904,0.353571176,0.544131994,-0.267824867
-0.336418949,-0.353246981,-0.396350793,-1.572830830,0.352123636,0.543740925,-0.268067180
-0.337110275,-0.352120246,-0.396634085,-1.574661000,0.350674142,0.543348655,-0.268311680
-0.337803270,-0.350989122,-0.396919884,-1.576483404,0.349222706,0.542955188,-0.268558366
-0.338497925,-0.349853613,-0.397208190,-1.578298030,0.347769340,0.542560528,-0.268807240
-0.339194229,-0.348713726,-0.397499005,-1.580104868,0.346314058,0.542164679,-0.269058302
-0.339892174,-0.347569465,-0.397792328,-1.581903906,0.344856871,0.541767645,-0.269311551
-0.340591749,-0.346420837,-0.398088159,-1.583695135,0.343397792,0.541369430,-0.269566988
-0.341292944,-0.345267849,-0.398386501,-1.585478543,0.341936834,0.540970038,-0.269824613
-0.341995750,-0.344110504,-0.398687352,-1.587254119,0.340474009,0.540569474,-0.270084427
-0.342700157,-0.342948810,-0.398990714,-1.589021853,0.339009329,0.540167740,-0.270346429
-0.343406154,-0.341782773,-0.399296587,-1.590781735,0.337542807,0.539764841,-0.270610620
-0.344113733,-0.340612398,-0.399604972,-1.592533753,0.336074456,0.539360782,-0.270877000
-0.344822884,-0.339437691,-0.399915868,-1.594277898,0.334604288,0.538955566,-0.271145569
-0.345533595,-0.338258659,-0.400229276,-1.596014158,0.333132316,0.538549197,-0.271416326
-0.346245858,-0.337075308,-0.400545197,-1.597742524,0.331658552,0.538141679,-0.271689272
-0.346959662,-0.335887645,-0.400863630,-1.599462986,0.330183009,0.537733016,-0.271964406
-0.347674998,-0.334695674,-0.401184577,-1.601175532,0.328705699,0.537323213,-0.272241730
-0.348391855,-0.333499403,-0.401508037,-1.602880154,0.327226635,0.536912272,-0.272521242
-0.349110223,-0.332298838,-0.401834010,-1.604576840,0.325745830,0.536500199,-0.272802942
-0.349830092,-0.331093985,-0.402162498,-1.606265581,0.324263296,0.536086997,-0.273086831
-0.350551453,-0.329884851,-0.402493499,-1.607946367,0.322779046,0.535672669,-0.273372908
-0.351274294,-0.328671442,-0.402827014,-1.609619188,0.321293092,0.535257221,-0.273661172
-0.351998606,-0.327453765,-0.403163044,-1.611284034,0.319805448,0.534840656,-0.273951624
-0.352724379,-0.326231826,-0.403501588,-1.612940895,0.318316125,0.534422978,-0.274244264
-0.353451603,-0.325005633,-0.403842646,-1.614589761,0.316825137,0.534004190,-0.274539090
-0.354180266,-0.323775191,-0.404186218,-1.616230623,0.315332495,0.533584297,-0.274836103
-0.354910359,-0.322540508,-0.404532305,-1.617863471,0.313838214,0.533163303,-0.275135303
-0.355641873,-0.321301589,-0.404880907,-1.619488296,0.312342305,0.532741212,-0.275436688
-0.356374795,-0.320058443,-0.405232023,-1.621105087,0.310844781,0.532318028,-0.275740259
-0.357109117,-0.318811076,-0.405585653,-1.622713836,0.309345656,0.531893753,-0.276046015
-0.357844827,-0.317559494,-0.405941797,-1.624314533,0.307844940,0.531468394,-0.276353955
-0.358581916,-0.316303705,-0.406300456,-1.625907169,0.306342648,0.531041953,-0.276664079
-0.359320372,-0.315043716,-0.406661628,-1.627491735,0.304838792,0.530614434,-0.276976387
-0.360060187,-0.313779534,-0.407025314,-1.629068221,0.303333385,0.530185841,-0.277290877
-0.360801348,-0.312511166,-0.407391514,-1.630636617,0.301826440,0.529756178,-0.277607550
-0.361543846,-0.311238618,-0.407760227,-1.632196916,0.300317968,0.529325450,-0.277926404
-0.362287670,-0.309961899,-0.408131454,-1.633749108,0.298807984,0.528893659,-0.278247439
-0.363032810,-0.308681016,-0.408505193,-1.635293184,0.297296499,0.528460810,-0.278570654
-0.363779256,-0.307395975,-0.408881444,-1.636829135,0.295783527,0.528026906,-0.278896049
-0.364526995,-0.306106784,-0.409260208,-1.638356952,0.294269080,0.527591952,-0.279223622
-0.365276019,-0.304813451,-0.409641483,-1.639876627,0.292753172,0.527155952,-0.279553374
-0.366026317,-0.303515983,-0.410025270,-1.641388150,0.291235814,0.526718909,-0.279885302
-0.366777877,-0.302214387,-0.410411568,-1.642891514,0.289717020,0.526280827,-0.280219406
-0.367530690,-0.300908670,-0.410800377,-1.644386708,0.288196802,0.525841710,-0.280555686
-0.368284744,-0.299598842,-0.411191695,-1.645873726,0.286675174,0.525401561,-0.280894140
-0.369040029,-0.298284908,-0.411585523,-1.647352558,0.285152148,0.524960386,-0.281234768
-0.369796534,-0.296966877,-0.411981860,-1.648823195,0.283627737,0.524518187,-0.281577568
-0.370554249,-0.295644756,-0.412380706,-1.650285630,0.282101954,0.524074968,-0.281922539
-0.371313162,-0.294318553,-0.412782059,-1.651739855,0.280574811,0.523630733,-0.282269681
-0.372073264,-0.292988277,-0.413185920,-1.653185860,0.279046322,0.523185486,-0.282618992
-0.372834543,-0.291653934,-0.413592288,-1.654623638,0.277516500,0.522739232,-0.282970472
-0.373596988,-0.290315532,-0.414001161,-1.656053181,0.275985356,0.522291972,-0.283324118
-0.374360588,-0.288973080,-0.414412540,-1.657474480,0.274452904,0.521843713,-0.283679931
-0.375125334,-0.287626586,-0.414826423,-1.658887528,0.272919158,0.521394456,-0.284037908
-0.375891213,-0.286276057,-0.415242811,-1.660292317,0.271384129,0.520944206,-0.284398048
-0.376658216,-0.284921502,-0.415661701,-1.661688838,0.269847831,0.520492968,-0.284760351
-0.377426330,-0.283562928,-0.416083094,-1.663077084,0.268310276,0.520040743,-0.285124815
-0.378195546,-0.282200344,-0.416506988,-1.664457047,0.266771478,0.519587538,-0.285491439
-0.378965852,-0.280833759,-0.416933383,-1.665828719,0.265231449,0.519133354,-0.285860221
-0.379737237,-0.279463179,-0.417362277,-1.667192094,0.263690203,0.518678196,-0.286231160
-0.380509691,-0.278088614,-0.417793670,-1.668547162,0.262147751,0.518222068,-0.286604254
-0.381283202,-0.276710072,-0.418227561,-1.669893917,0.260604108,0.517764973,-0.286979503
-0.382057759,-0.275327561,-0.418663950,-1.671232352,0.259059285,0.517306916,-0.287356904
-0.382833351,-0.273941090,-0.419102834,-1.672562458,0.257513297,0.516847899,-0.287736456
-0.383609968,-0.272550667,-0.419544213,-1.673884229,0.255966155,0.516387927,-0.288118158
-0.384387598,-0.271156301,-0.419988085,-1.675197657,0.254417873,0.515927003,-0.288502009
-0.385166229,-0.269757999,-0.420434451,-1.676502735,0.252868463,0.515465132,-0.288888005
-0.385945852,-0.268355772,-0.420883309,-1.677799455,0.251317939,0.515002316,-0.289276147
-0.386726454,-0.266949627,-0.421334657,-1.679087812,0.249766314,0.514538560,-0.289666431
-0.387508025,-0.265539573,-0.421788494,-1.680367797,0.248213600,0.514073867,-0.290058858
-0.388290553,-0.264125619,-0.422244820,-1.681639404,0.246659810,0.513608241,-0.290453424
-0.389074028,-0.262707774,-0.422703632,-1.682902627,0.245104957,0.513141686,-0.290850128
-0.389858437,-0.261286046,-0.423164931,-1.684157457,0.243549055,0.512674205,-0.291248969
-0.390643771,-0.259860445,-0.423628714,-1.685403888,0.241992116,0.512205802,-0.291649944
-0.391430017,-0.258430978,-0.424094981,-1.686641914,0.240434153,0.511736481,-0.292053052
-0.392217164,-0.256997656,-0.424563729,-1.687871528,0.238875180,0.511266245,-0.292458291
-0.393005201,-0.255560487,-0.425034958,-1.689092724,0.237315208,0.510795098,-0.292865659
-0.393794117,-0.254119481,-0.425508666,-1.690305494,0.235754251,0.510323044,-0.293275154
-0.394583900,-0.252674645,-0.425984852,-1.691509833,0.234192323,0.509850087,-0.293686774
-0.395374539,-0.251225990,-0.426463515,-1.692705733,0.232629435,0.509376229,-0.294100518
-0.396166023,-0.249773525,-0.426944653,-1.693893190,0.231065601,0.508901475,-0.294516382
-0.396958340,-0.248317259,-0.427428264,-1.695072195,0.229500834,0.508425828,-0.294934366
-0.397751480,-0.246857200,-0.427914347,-1.696242744,0.227935147,0.507949293,-0.295354467
-0.398545429,-0.245393359,-0.428402900,-1.697404830,0.226368553,0.507471872,-0.295776682
-0.399340178,-0.243925745,-0.428893923,-1.698558447,0.224801064,0.506993569,-0.296201011
-0.400135715,-0.242454367,-0.429387413,-1.699703589,0.223232695,0.506514387,-0.296627450
-0.400932027,-0.240979234,-0.429883368,-1.700840250,0.221663457,0.506034332,-0.297055998
-0.401729105,-0.239500357,-0.430381788,-1.701968424,0.220093364,0.505553405,-0.297486652
-0.402526936,-0.238017744,-0.430882670,-1.703088106,0.218522428,0.505071611,-0.297919410
-0.403325508,-0.236531405,-0.431386012,-1.704199289,0.216950664,0.504588952,-0.298354270
-0.404124811,-0.235041350,-0.431891814,-1.705301968,0.215378082,0.504105434,-0.298791230
-0.404924833,-0.233547588,-0.432400073,-1.706396137,0.213804698,0.503621059,-0.299230286
-0.405725562,-0.232050130,-0.432910787,-1.707481790,0.212230523,0.503135831,-0.299671438
-0.406526986,-0.230548984,-0.433423955,-1.708558923,0.210655571,0.502649754,-0.300114682
-0.407329094,-0.229044161,-0.433939575,-1.709627529,0.209079855,0.502162830,-0.300560015
-0.408131875,-0.227535670,-0.434457645,-1.710687604,0.207503387,0.501675064,-0.301007437
-0.408935317,-0.226023521,-0.434978163,-1.711739142,0.205926180,0.501186459,-0.301456943
-0.409739408,-0.224507725,-0.435501127,-1.712782137,0.204348249,0.500697019,-0.301908532
-0.410544136,-0.222988291,-0.436026535,-1.713816585,0.202769604,0.500206747,-0.302362201
-0.411349490,-0.221465229,-0.436554386,-1.714842480,0.201190261,0.499715647,-0.302817947
-0.412155459,-0.219938549,-0.437084677,-1.715859818,0.199610231,0.499223722,-0.303275769
-0.412962030,-0.218408261,-0.437617406,-1.716868593,0.198029527,0.498730976,-0.303735662
-0.413769192,-0.216874376,-0.438152571,-1.717868801,0.196448163,0.498237412,-0.304197625
-0.414576933,-0.215336903,-0.438690171,-1.718860436,0.194866151,0.497743033,-0.304661655
-0.415385242,-0.213795853,-0.439230202,-1.719843494,0.193283505,0.497247844,-0.305127749
-0.416194106,-0.212251236,-0.439772664,-1.720817970,0.191700237,0.496751848,-0.305595904
-0.417003514,-0.210703063,-0.440317553,-1.721783859,0.190116361,0.496255048,-0.306066118
-0.417813454,-0.209151342,-0.440864867,-1.722741157,0.188531889,0.495757447,-0.306538387
-0.418623914,-0.207596086,-0.441414606,-1.723689859,0.186946834,0.495259050,-0.307012710
